City Name,City Code,Country,Total population 2019,Men population 2019,Women population 2019
Mazowieckie,MAZ,Polska,5411446,2589469,2821977
Slaskie,SLA,Polska,4524091,2180662,2343429
Wielkopolskie,WLK,Polska,3495470,1700647,1794823
Malopolskie,MLP,Polska,3404863,1652663,1752200
Dolnoslaskie,DOL,Polska,2899986,1394399,1505587
Lodzkie,LDZ,Polska,2460170,1172228,1287942
Pomorskie,POM,Polska,2337769,1138351,1199418
Podkarpackie,PKR,Polska,2127462,1041890,1085572
Lubelskie,LBL,Polska,2112216,1023626,1088590
Kujawsko-pomorskie,K-P,Polska,2074517,1005361,1069156
Zachodniopomorskie,ZPM,Polska,1698344,825659,872685
Warminsko-mazurskie,W-M,Polska,1425967,697504,728463
Swietokrzyskie,SWI,Polska,1237369,603304,634065
Podlaskie,PDL,Polska,1179430,574786,604644
Lubuskie,LBU,Polska,1013031,492984,520047
Opolskie,OPO,Polska,984345,476017,508328
Madryt,MAD,Hiszpania,6271638,3135819,3135819
Barcelona,BAR,Hiszpania,5416447,27082235,27082235
Walencja,WAL,Hiszpania,2543209,12716045,12716045
Alicante,ALI,Hiszpania,1891477,9457385,9457385
Sewilla,SEW,Hiszpania,1875462,937731,937731
Malaga,MAL,Hiszpania,1563261,7816305,7816305
Murcja,MUR,Hiszpania,1426109,7130545,7130545
Kadyks,KAD,Hiszpania,1220467,6102335,6102335
Vizcaya,VIZ,Hiszpania,1146421,5732105,5732105
A Coruna,A C,Hiszpania,1139121,5695605,5695605
Asturia,AST,Hiszpania,1080138,540069,540069
Baleary,BAL,Hiszpania,1072844,536422,536422
Las Palmas,LAS,Hiszpania,1070032,535016,535016
Santa Cruz de Tenerife,SAN,Hiszpania,1005936,502968,502968
Saragossa,SAR,Hiszpania,955323,4776615,4776615
Pontevedra,PON,Hiszpania,9534,4767,4767
Grenada,GRE,Hiszpania,90122,45061,45061
Kordowa,KOR,Hiszpania,798822,399411,399411
Tarragona,TAR,Hiszpania,788895,3944475,3944475
Girona,GIR,Hiszpania,731864,365932,365932
Guipúzcoa,GUI,Hiszpania,701056,350528,350528
Badajoz,BAD,Hiszpania,685246,342623,342623
Toledo,TOL,Hiszpania,670203,3351015,3351015
Almería,ALM,Hiszpania,667635,3338175,3338175
Jaen,JAE,Hiszpania,667438,333719,333719
Nawarra,NAW,Hiszpania,620377,3101885,3101885
Castellón,CAS,Hiszpania,594915,2974575,2974575
Kantabria,KAN,Hiszpania,582138,291069,291069
Valladolid,VAL,Hiszpania,529019,2645095,2645095
Ciudad Real,CIU,Hiszpania,522343,2611715,2611715
Sztokholm,SZT,Szwecja,1372565,6862825,6862825
Goteborg,GOT,Szwecja,549839,2749195,2749195
Malmo,MAL,Szwecja,280415,1402075,1402075
Uppsala,UPP,Szwecja,140454,70227,70227
Vssteras,VSS,Szwecja,110877,554385,554385
Orebro,ORE,Szwecja,107038,53519,53519
Linkoping,LIN,Szwecja,104232,52116,52116
Helsingborg,HEL,Szwecja,97122,48561,48561
Jonkoping,JON,Szwecja,89396,44698,44698
