City Name,City Code,Country,Total population 2019,Men population 2019,Women population 2019
Mazowieckie,MAZ,Polska,5411446,2589469,2821977
Slaskie,SLA,Polska,4524091,2180662,2343429
Wielkopolskie,WLK,Polska,3495470,1700647,1794823
WielkopolskieTest,WLK,Polska,3495470,1700647,1794823
Malopolskie,MLP,Polska,3404863,1652663,1752200
Dolnoslaskie,DOL,Polska,2899986,1394399,1505587
Lodzkie,LDZ,Polska,2460170,1172228,1287942
LodzkieTest,LDZ,Polska,2460170,1172228,1287942
PomorskieTest,POM,Polska,2337769,1138351,1199418
Pomorskie,POM,Polska,2337769,1138351,1199418
Podkarpackie,PKR,Polska,2127462,1041890,1085572
Lubelskie,LBL,Polska,2112216,1023626,1088590
Kujawsko-pomorskie,K-P,Polska,2074517,1005361,1069156
Zachodniopomorskie,ZPM,Polska,1698344,825659,872685
Warminsko-mazurskie,W-M,Polska,1425967,697504,728463
Swietokrzyskie,SWI,Polska,1237369,603304,634065
Podlaskie,PDL,Polska,1179430,574786,604644
Lubuskie,LBU,Polska,1013031,492984,520047
Opolskie,OPO,Polska,984345,476017,508328
